date,PHR,GVR,TRC,VNIndex
08/22/2019,73100,15500,27000,997.260009765625
08/21/2019,73100,15300,27200,994.3800048828125
08/20/2019,74100,16100,27000,984.6699829101563
08/19/2019,71800,16400,25250,981.030029296875
08/16/2019,71600,16600,25200,980
08/15/2019,72000,16350,25200,979.3800048828125
08/14/2019,69200,16547,25800,968.9099731445313
08/13/2019,70000,15759,26500,966.8300170898438
08/12/2019,72500,15267,26700,975.3099975585938
08/09/2019,75300,14577,27186,974.3400268554688
08/08/2019,75200,14676,26020,975.239990234375
08/07/2019,75600,14380,25700,965.9299926757813
08/06/2019,75300,14676,25000,964.6099853515625
08/05/2019,75600,14380,25100,973.1500244140625
08/02/2019,74000,14676,25400,991.0999755859375
08/01/2019,72200,14774,25000,997.3900146484375
07/31/2019,69600,14183,24900,991.6599731445313
07/30/2019,67500,13986,24950,986.02001953125
07/29/2019,68600,13592,24700,997.9400024414063
07/26/2019,69000,13592,24800,993.3499755859375
07/25/2019,68800,13395,24650,994.9500122070313
07/24/2019,70500,13592,24650,988.4099731445313
07/23/2019,69800,13100,24550,989.4600219726563
07/22/2019,67500,13198,24900,982.0399780273438
07/19/2019,65000,13494,24700,982.3400268554688
07/18/2019,64400,13297,24800,976.0499877929688
07/17/2019,61500,13001,25000,982.5700073242188
07/16/2019,61900,12903,25000,982.1099853515625
07/15/2019,60800,13395,25000,972.530029296875
07/12/2019,59700,12903,25000,975.4000244140625
07/11/2019,59800,12804,25000,978.6300048828125
07/10/2019,59800,12903,25000,973.6500244140625
07/09/2019,59600,12607,25200,969.0499877929688
07/08/2019,58600,12410,25350,966.3499755859375
07/05/2019,60600,12509,25550,975.3400268554688
07/04/2019,61000,12607,25350,973.0399780273438
07/03/2019,59500,12607,25350,960.3900146484375
07/02/2019,59500,12607,25100,961.97998046875
07/01/2019,59300,13100,25400,965.6099853515625
06/28/2019,61200,13297,25500,949.9400024414063
06/27/2019,57600,13297,26200,943.1099853515625
06/26/2019,57900,13198,25600,959.1300048828125
06/25/2019,57400,13001,26050,960.1300048828125
06/24/2019,57000,13198,25800,962.8499755859375
06/21/2019,58900,13691,25900,959.2000122070313
06/20/2019,58800,13395,25400,959.1799926757813
06/19/2019,58600,12804,24500,949.6900024414063
06/18/2019,56000,12804,25000,944.010009765625
06/17/2019,55800,13297,25000,946.9500122070313
06/14/2019,56000,12213,25800,953.6099853515625
06/13/2019,57500,11425,25000,950.0800170898438
06/12/2019,56800,11425,25500,954.1699829101563
